﻿X0 ; ﻿Y69
X41 ; Y23
X42 ; Y15
X44 ; Y16
X44 ; Y17
X45 ; Y11
X46 ; Y18
X46 ; Y19
X47 ; Y13
X48 ; Y34
X48 ; Y38
X49 ; Y77
X50 ; Y56
X51 ; Y78
X53 ; Y46
﻿X0 ; ﻿Y69
X1 ; Y26
X2 ; Y27
X3 ; Y34
X3 ; Y38
X4 ; Y24
X4 ; Y25
X4 ; Y9
X5 ; Y20
X5 ; Y21
X6 ; Y30
X6 ; Y31
X6 ; Y20
X6 ; Y21
X7 ; Y65
X8 ; Y48
X9 ; Y49
X10 ; Y65
X11 ; Y67
X11 ; Y68
X12 ; Y34
X12 ; Y38
X13 ; Y37
X14 ; Y33
X15 ; Y62
X15 ; Y76
X16 ; Y56
X17 ; Y61
X18 ; Y59
X19 ; Y60
X20 ; Y50
X20 ; Y51
X22 ; Y44
X23 ; Y52
X23 ; Y53
X24 ; Y70
X24 ; Y71
X25 ; Y58
X26 ; Y74
X26 ; Y75
X28 ; Y4
X30 ; Y46
X31 ; Y63
X31 ; Y64
X32 ; Y54
X32 ; Y55
X33 ; Y45
X34 ; Y36
X35 ; Y0
X36 ; Y30
X36 ; Y31
X36 ; Y12
X37 ; Y8
X38 ; Y32
X38 ; Y35
X39 ; Y28
X39 ; Y29
X40 ; Y14
X41 ; Y22
X41 ; Y23
X42 ; Y15
X44 ; Y16
X44 ; Y17
X45 ; Y11
X46 ; Y18
X46 ; Y19
X47 ; Y13
X48 ; Y34
X48 ; Y38
X49 ; Y77
X50 ; Y56
X51 ; Y78
X53 ; Y46
﻿X0 ; ﻿Y69
X1 ; Y26
X2 ; Y27
X3 ; Y34
X3 ; Y38
X4 ; Y24
X4 ; Y25
X4 ; Y9
X5 ; Y20
X5 ; Y21
X6 ; Y30
X6 ; Y31
X6 ; Y20
X6 ; Y21
X7 ; Y65
X8 ; Y48
X9 ; Y49
X10 ; Y65
X11 ; Y67
X11 ; Y68
X12 ; Y34
X12 ; Y38
X13 ; Y37
X14 ; Y33
X15 ; Y62
X15 ; Y76
X16 ; Y56
X17 ; Y61
X18 ; Y59
X19 ; Y60
X20 ; Y50
X20 ; Y51
X22 ; Y44
X23 ; Y52
X23 ; Y53
X24 ; Y70
X24 ; Y71
X25 ; Y58
X26 ; Y74
X26 ; Y75
X28 ; Y4
X30 ; Y46
X31 ; Y63
X31 ; Y64
X32 ; Y54
X32 ; Y55
X33 ; Y45
X34 ; Y36
X35 ; Y0
X36 ; Y30
X36 ; Y31
X36 ; Y12
X37 ; Y8
X38 ; Y32
X38 ; Y35
X39 ; Y28
X39 ; Y29
X40 ; Y14
X41 ; Y22
X41 ; Y23
X42 ; Y15
X44 ; Y16
X44 ; Y17
X45 ; Y11
X46 ; Y18
X46 ; Y19
X47 ; Y13
X48 ; Y34
X48 ; Y38
X49 ; Y77
X50 ; Y56
X51 ; Y78
X53 ; Y46
﻿X0 ; ﻿Y69
X1 ; Y26
X2 ; Y27
X3 ; Y34
X3 ; Y38
X4 ; Y24
X4 ; Y25
X4 ; Y9
X5 ; Y20
X5 ; Y21
X6 ; Y30
X6 ; Y31
X6 ; Y20
X6 ; Y21
X7 ; Y65
X8 ; Y48
X9 ; Y49
X10 ; Y65
X11 ; Y67
X11 ; Y68
X12 ; Y34
X12 ; Y38
X13 ; Y37
X14 ; Y33
X15 ; Y62
X15 ; Y76
X16 ; Y56
X17 ; Y61
X18 ; Y59
X19 ; Y60
X20 ; Y50
X20 ; Y51
X22 ; Y44
X23 ; Y52
X23 ; Y53
X24 ; Y70
X24 ; Y71
X25 ; Y58
X26 ; Y74
X26 ; Y75
X28 ; Y4
X30 ; Y46
X31 ; Y63
X31 ; Y64
X32 ; Y54
X32 ; Y55
X33 ; Y45
X34 ; Y36
X35 ; Y0
X36 ; Y30
X36 ; Y31
X36 ; Y12
X37 ; Y8
X38 ; Y32
X38 ; Y35
X39 ; Y28
X39 ; Y29
X40 ; Y14
X41 ; Y22
X41 ; Y23
X42 ; Y15
X44 ; Y16
X44 ; Y17
X45 ; Y11
X46 ; Y18
X46 ; Y19
X47 ; Y13
X48 ; Y34
X48 ; Y38
X49 ; Y77
X50 ; Y56
X51 ; Y78
X53 ; Y46
﻿X0 ; ﻿Y69
X1 ; Y26
X2 ; Y27
X3 ; Y34
X3 ; Y38
X4 ; Y24
X4 ; Y25
X4 ; Y9
X5 ; Y20
X5 ; Y21
X6 ; Y30
X6 ; Y31
X6 ; Y20
X6 ; Y21
X7 ; Y65
X8 ; Y48
X9 ; Y49
X10 ; Y65
X11 ; Y67
X11 ; Y68
X12 ; Y34
X12 ; Y38
X13 ; Y37
X14 ; Y33
X15 ; Y62
X15 ; Y76
X16 ; Y56
X17 ; Y61
X18 ; Y59
X19 ; Y60
X20 ; Y50
X20 ; Y51
X22 ; Y44
X23 ; Y52
X23 ; Y53
X24 ; Y70
X24 ; Y71
X25 ; Y58
X26 ; Y74
X26 ; Y75
X28 ; Y4
X30 ; Y46
X31 ; Y63
X31 ; Y64
X32 ; Y54
X32 ; Y55
X33 ; Y45
X34 ; Y36
X35 ; Y0
X36 ; Y30
X36 ; Y31
X36 ; Y12
X37 ; Y8
X38 ; Y32
X38 ; Y35
X39 ; Y28
X39 ; Y29
X40 ; Y14
X41 ; Y22
X41 ; Y23
X42 ; Y15
X44 ; Y16
X44 ; Y17
X45 ; Y11
X46 ; Y18
X46 ; Y19
X47 ; Y13
X48 ; Y34
X48 ; Y38
X49 ; Y77
X50 ; Y56
X51 ; Y78
X53 ; Y46
﻿X0 ; ﻿Y69
X1 ; Y26
X2 ; Y27
X3 ; Y34
X3 ; Y38
X4 ; Y24
X4 ; Y25
X4 ; Y9
X5 ; Y20
X5 ; Y21
X6 ; Y30
X6 ; Y31
X6 ; Y20
X6 ; Y21
X7 ; Y65
X8 ; Y48
X9 ; Y49
X10 ; Y65
X11 ; Y67
X11 ; Y68
X12 ; Y34
X12 ; Y38
X13 ; Y37
X14 ; Y33
X15 ; Y62
X15 ; Y76
X16 ; Y56
X17 ; Y61
X18 ; Y59
X19 ; Y60
X20 ; Y50
X20 ; Y51
X22 ; Y44
X23 ; Y52
X23 ; Y53
X24 ; Y70
X24 ; Y71
X25 ; Y58
X26 ; Y74
X26 ; Y75
X28 ; Y4
X30 ; Y46
X31 ; Y63
X31 ; Y64
X32 ; Y54
X32 ; Y55
X33 ; Y45
X34 ; Y36
X35 ; Y0
X36 ; Y30
X36 ; Y31
X36 ; Y12
X37 ; Y8
X38 ; Y32
X38 ; Y35
X39 ; Y28
X39 ; Y29
X40 ; Y14
X41 ; Y22
X41 ; Y23
X42 ; Y15
X44 ; Y16
X44 ; Y17
X45 ; Y11
X46 ; Y18
X46 ; Y19
X47 ; Y13
X48 ; Y34
X48 ; Y38
X49 ; Y77
X50 ; Y56
X51 ; Y78
X53 ; Y46
﻿X0 ; ﻿Y69
X1 ; Y26
X2 ; Y27
X3 ; Y34
X3 ; Y38
X4 ; Y24
X4 ; Y25
X4 ; Y9
X5 ; Y20
X5 ; Y21
X6 ; Y30
X6 ; Y31
X6 ; Y20
X6 ; Y21
X7 ; Y65
X8 ; Y48
X9 ; Y49
X10 ; Y65
X11 ; Y67
X11 ; Y68
X12 ; Y34
X12 ; Y38
X13 ; Y37
X14 ; Y33
X15 ; Y62
X15 ; Y76
X16 ; Y56
X17 ; Y61
X18 ; Y59
X19 ; Y60
X20 ; Y50
X20 ; Y51
X22 ; Y44
X23 ; Y52
X23 ; Y53
X24 ; Y70
X24 ; Y71
X25 ; Y58
X26 ; Y74
X26 ; Y75
X28 ; Y4
X30 ; Y46
X31 ; Y63
X31 ; Y64
X32 ; Y54
X32 ; Y55
X33 ; Y45
X34 ; Y36
X35 ; Y0
X36 ; Y30
X36 ; Y31
X36 ; Y12
X37 ; Y8
X38 ; Y32
X38 ; Y35
X39 ; Y28
X39 ; Y29
X40 ; Y14
X41 ; Y22
X41 ; Y23
X42 ; Y15
X44 ; Y16
X44 ; Y17
X45 ; Y11
X46 ; Y18
X46 ; Y19
X47 ; Y13
X48 ; Y34
X48 ; Y38
X49 ; Y77
X50 ; Y56
X51 ; Y78
X53 ; Y46
﻿X0 ; ﻿Y69
X1 ; Y26
X2 ; Y27
X3 ; Y34
X3 ; Y38
X4 ; Y24
X4 ; Y25
X4 ; Y9
X5 ; Y20
X5 ; Y21
X6 ; Y30
X6 ; Y31
X6 ; Y20
X6 ; Y21
X7 ; Y65
X8 ; Y48
X9 ; Y49
X10 ; Y65
X11 ; Y67
X11 ; Y68
X12 ; Y34
X12 ; Y38
X13 ; Y37
X14 ; Y33
X15 ; Y62
X15 ; Y76
X16 ; Y56
X17 ; Y61
X18 ; Y59
X19 ; Y60
X20 ; Y50
X20 ; Y51
X22 ; Y44
X23 ; Y52
X23 ; Y53
X24 ; Y70
X24 ; Y71
X25 ; Y58
X26 ; Y74
X26 ; Y75
X28 ; Y4
X30 ; Y46
X31 ; Y63
X31 ; Y64
X32 ; Y54
X32 ; Y55
X33 ; Y45
X34 ; Y36
X35 ; Y0
X36 ; Y30
X36 ; Y31
X36 ; Y12
X37 ; Y8
X38 ; Y32
X38 ; Y35
X39 ; Y28
X39 ; Y29
X40 ; Y14
X41 ; Y22
X41 ; Y23
X42 ; Y15
X44 ; Y16
X44 ; Y17
X45 ; Y11
X46 ; Y18
X46 ; Y19
X47 ; Y13
X48 ; Y34
X48 ; Y38
X49 ; Y77
X50 ; Y56
X51 ; Y78
X53 ; Y46
﻿X0 ; ﻿Y69
X1 ; Y26
X2 ; Y27
X3 ; Y34
X3 ; Y38
X4 ; Y24
X4 ; Y25
X4 ; Y9
X5 ; Y20
X5 ; Y21
X6 ; Y30
X6 ; Y31
X6 ; Y20
X6 ; Y21
X7 ; Y65
X8 ; Y48
X9 ; Y49
X10 ; Y65
X11 ; Y67
X11 ; Y68
X12 ; Y34
X12 ; Y38
X13 ; Y37
X14 ; Y33
X15 ; Y62
X15 ; Y76
X16 ; Y56
X17 ; Y61
X18 ; Y59
X19 ; Y60
X20 ; Y50
X20 ; Y51
X22 ; Y44
X23 ; Y52
X23 ; Y53
X24 ; Y70
X24 ; Y71
X25 ; Y58
X26 ; Y74
X26 ; Y75
X28 ; Y4
X30 ; Y46
X31 ; Y63
X31 ; Y64
X32 ; Y54
X32 ; Y55
X33 ; Y45
X34 ; Y36
X35 ; Y0
X36 ; Y30
X36 ; Y31
X36 ; Y12
X37 ; Y8
X38 ; Y32
X38 ; Y35
X39 ; Y28
X39 ; Y29
X40 ; Y14
X41 ; Y22
X41 ; Y23
X42 ; Y15
X44 ; Y16
X44 ; Y17
X45 ; Y11
X46 ; Y18
X46 ; Y19
X47 ; Y13
X48 ; Y34
X48 ; Y38
X49 ; Y77
X50 ; Y56
X51 ; Y78
X53 ; Y46
﻿X0 ; ﻿Y69
X1 ; Y26
X2 ; Y27
X3 ; Y34
X3 ; Y38
X4 ; Y24
X4 ; Y25
X4 ; Y9
X5 ; Y20
X5 ; Y21
X6 ; Y30
X6 ; Y31
X6 ; Y20
X6 ; Y21
X7 ; Y65
X8 ; Y48
X9 ; Y49
X10 ; Y65
X11 ; Y67
X11 ; Y68
X12 ; Y34
X12 ; Y38
X13 ; Y37
X14 ; Y33
X15 ; Y62
X15 ; Y76
X16 ; Y56
X17 ; Y61
X18 ; Y59
X19 ; Y60
X20 ; Y50
X20 ; Y51
X22 ; Y44
X23 ; Y52
X23 ; Y53
X24 ; Y70
X24 ; Y71
X25 ; Y58
X26 ; Y74
X26 ; Y75
X28 ; Y4
X30 ; Y46
X31 ; Y63
X31 ; Y64
X32 ; Y54
X32 ; Y55
X33 ; Y45
X34 ; Y36
X35 ; Y0
X36 ; Y30
X36 ; Y31
X36 ; Y12
X37 ; Y8
X38 ; Y32
X38 ; Y35
X39 ; Y28
X39 ; Y29
X40 ; Y14
X41 ; Y22
X41 ; Y23
X42 ; Y15
X44 ; Y16
X44 ; Y17
X45 ; Y11
X46 ; Y18
X46 ; Y19
X47 ; Y13
X48 ; Y34
X48 ; Y38
X49 ; Y77
X50 ; Y56
X51 ; Y78
X53 ; Y46
﻿X0 ; ﻿Y69
X1 ; Y26
X2 ; Y27
X3 ; Y34
X3 ; Y38
X4 ; Y24
X4 ; Y25
X4 ; Y9
X5 ; Y20
X5 ; Y21
X6 ; Y30
X6 ; Y31
X6 ; Y20
X6 ; Y21
X7 ; Y65
X8 ; Y48
X9 ; Y49
X10 ; Y65
X11 ; Y67
X11 ; Y68
X12 ; Y34
X12 ; Y38
X13 ; Y37
X14 ; Y33
X15 ; Y62
X15 ; Y76
X16 ; Y56
X17 ; Y61
X18 ; Y59
X19 ; Y60
X20 ; Y50
X20 ; Y51
X22 ; Y44
X23 ; Y52
X23 ; Y53
X24 ; Y70
X24 ; Y71
X25 ; Y58
X26 ; Y74
X26 ; Y75
X28 ; Y4
X30 ; Y46
X31 ; Y63
X31 ; Y64
X32 ; Y54
X32 ; Y55
X33 ; Y45
X34 ; Y36
X35 ; Y0
X36 ; Y30
X36 ; Y31
X36 ; Y12
X37 ; Y8
X38 ; Y32
X38 ; Y35
X39 ; Y28
X39 ; Y29
X40 ; Y14
X41 ; Y22
X41 ; Y23
X42 ; Y15
X44 ; Y16
X44 ; Y17
X45 ; Y11
X46 ; Y18
X46 ; Y19
X47 ; Y13
X48 ; Y34
X48 ; Y38
X49 ; Y77
X50 ; Y56
X51 ; Y78
X53 ; Y46
﻿X0 ; ﻿Y69
X1 ; Y26
X2 ; Y27
X3 ; Y34
X3 ; Y38
X4 ; Y24
X4 ; Y25
X4 ; Y9
X5 ; Y20
X5 ; Y21
X6 ; Y30
X6 ; Y31
X6 ; Y20
X6 ; Y21
X7 ; Y65
X8 ; Y48
X9 ; Y49
X10 ; Y65
X11 ; Y67
X11 ; Y68
X12 ; Y34
X12 ; Y38
X13 ; Y37
X14 ; Y33
X15 ; Y62
X15 ; Y76
X16 ; Y56
X17 ; Y61
X18 ; Y59
X19 ; Y60
X20 ; Y50
X20 ; Y51
X22 ; Y44
X23 ; Y52
X23 ; Y53
X24 ; Y70
X24 ; Y71
X25 ; Y58
X26 ; Y74
X26 ; Y75
X28 ; Y4
X30 ; Y46
X31 ; Y63
X31 ; Y64
X32 ; Y54
X32 ; Y55
X33 ; Y45
X34 ; Y36
X35 ; Y0
X36 ; Y30
X36 ; Y31
X36 ; Y12
X37 ; Y8
X38 ; Y32
X38 ; Y35
X39 ; Y28
X39 ; Y29
X40 ; Y14
X41 ; Y22
X41 ; Y23
X42 ; Y15
X44 ; Y16
X44 ; Y17
X45 ; Y11
X46 ; Y18
X46 ; Y19
X47 ; Y13
X48 ; Y34
X48 ; Y38
X49 ; Y77
X50 ; Y56
X51 ; Y78
X53 ; Y46
﻿X0 ; ﻿Y69
X1 ; Y26
X2 ; Y27
X3 ; Y34
X3 ; Y38
X4 ; Y24
X4 ; Y25
X4 ; Y9
X5 ; Y20
X5 ; Y21
X6 ; Y30
X6 ; Y31
X6 ; Y20
X6 ; Y21
X7 ; Y65
X8 ; Y48
X9 ; Y49
X10 ; Y65
X11 ; Y67
X11 ; Y68
X12 ; Y34
X12 ; Y38
X13 ; Y37
X14 ; Y33
X15 ; Y62
X15 ; Y76
X16 ; Y56
X17 ; Y61
X18 ; Y59
X19 ; Y60
X20 ; Y50
X20 ; Y51
X22 ; Y44
X23 ; Y52
X23 ; Y53
X24 ; Y70
X24 ; Y71
X25 ; Y58
X26 ; Y74
X26 ; Y75
X28 ; Y4
X30 ; Y46
X31 ; Y63
X31 ; Y64
X32 ; Y54
X32 ; Y55
X33 ; Y45
X34 ; Y36
X35 ; Y0
X36 ; Y30
X36 ; Y31
X36 ; Y12
X37 ; Y8
X38 ; Y32
X38 ; Y35
X39 ; Y28
X39 ; Y29
X40 ; Y14
X41 ; Y22
X41 ; Y23
X42 ; Y15
X44 ; Y16
X44 ; Y17
X45 ; Y11
X46 ; Y18
X46 ; Y19
X47 ; Y13
X48 ; Y34
X48 ; Y38
X49 ; Y77
X50 ; Y56
X51 ; Y78
X53 ; Y46
﻿X0 ; ﻿Y69
X1 ; Y26
X2 ; Y27
X3 ; Y34
X3 ; Y38
X4 ; Y24
X4 ; Y25
X4 ; Y9
X5 ; Y20
X5 ; Y21
X6 ; Y30
X6 ; Y31
X6 ; Y20
X6 ; Y21
X7 ; Y65
X8 ; Y48
X9 ; Y49
X10 ; Y65
X11 ; Y67
X11 ; Y68
X12 ; Y34
X12 ; Y38
X13 ; Y37
X14 ; Y33
X15 ; Y62
X15 ; Y76
X16 ; Y56
X17 ; Y61
X18 ; Y59
X19 ; Y60
X20 ; Y50
X20 ; Y51
X22 ; Y44
X23 ; Y52
X23 ; Y53
X24 ; Y70
X24 ; Y71
X25 ; Y58
X26 ; Y74
X26 ; Y75
X28 ; Y4
X30 ; Y46
X31 ; Y63
X31 ; Y64
X32 ; Y54
X32 ; Y55
X33 ; Y45
X34 ; Y36
X35 ; Y0
X36 ; Y30
X36 ; Y31
X36 ; Y12
X37 ; Y8
X38 ; Y32
X38 ; Y35
X39 ; Y28
X39 ; Y29
X40 ; Y14
X41 ; Y22
X41 ; Y23
X42 ; Y15
X44 ; Y16
X44 ; Y17
X45 ; Y11
X46 ; Y18
X46 ; Y19
X47 ; Y13
X48 ; Y34
X48 ; Y38
X49 ; Y77
X50 ; Y56
X51 ; Y78
X53 ; Y46
﻿X0 ; ﻿Y69
X1 ; Y26
X2 ; Y27
X3 ; Y34
X3 ; Y38
X4 ; Y24
X4 ; Y25
X4 ; Y9
X5 ; Y20
X5 ; Y21
X6 ; Y30
X6 ; Y31
X6 ; Y20
X6 ; Y21
X7 ; Y65
X8 ; Y48
X9 ; Y49
X10 ; Y65
X11 ; Y67
X11 ; Y68
X12 ; Y34
X12 ; Y38
X13 ; Y37
X14 ; Y33
X15 ; Y62
X15 ; Y76
X16 ; Y56
X17 ; Y61
X18 ; Y59
X19 ; Y60
X20 ; Y50
X20 ; Y51
X22 ; Y44
X23 ; Y52
X23 ; Y53
X24 ; Y70
X24 ; Y71
X25 ; Y58
X26 ; Y74
X26 ; Y75
X28 ; Y4
X30 ; Y46
X31 ; Y63
X31 ; Y64
X32 ; Y54
X32 ; Y55
X33 ; Y45
X34 ; Y36
X35 ; Y0
X36 ; Y30
X36 ; Y31
X36 ; Y12
X37 ; Y8
X38 ; Y32
X38 ; Y35
X39 ; Y28
X39 ; Y29
X40 ; Y14
X41 ; Y22
X41 ; Y23
X42 ; Y15
X44 ; Y16
X44 ; Y17
X45 ; Y11
X46 ; Y18
X46 ; Y19
X47 ; Y13
X48 ; Y34
X48 ; Y38
X49 ; Y77
X50 ; Y56
X51 ; Y78
X53 ; Y46
﻿X0 ; ﻿Y69
X1 ; Y26
X2 ; Y27
X3 ; Y34
X3 ; Y38
X4 ; Y24
X4 ; Y25
X4 ; Y9
X5 ; Y20
X5 ; Y21
X6 ; Y30
X6 ; Y31
X6 ; Y20
X6 ; Y21
X7 ; Y65
X8 ; Y48
X9 ; Y49
X10 ; Y65
X11 ; Y67
X11 ; Y68
X12 ; Y34
X12 ; Y38
X13 ; Y37
X14 ; Y33
X15 ; Y62
X15 ; Y76
X16 ; Y56
X17 ; Y61
X18 ; Y59
X19 ; Y60
X20 ; Y50
X20 ; Y51
X22 ; Y44
X23 ; Y52
X23 ; Y53
X24 ; Y70
X24 ; Y71
X25 ; Y58
X26 ; Y74
X26 ; Y75
X28 ; Y4
X30 ; Y46
X31 ; Y63
X31 ; Y64
X32 ; Y54
X32 ; Y55
X33 ; Y45
X34 ; Y36
X35 ; Y0
X36 ; Y30
X36 ; Y31
X36 ; Y12
X37 ; Y8
X38 ; Y32
X38 ; Y35
X39 ; Y28
X39 ; Y29
X40 ; Y14
X41 ; Y22
X41 ; Y23
X42 ; Y15
X44 ; Y16
X44 ; Y17
X45 ; Y11
X46 ; Y18
X46 ; Y19
X47 ; Y13
X48 ; Y34
X48 ; Y38
X49 ; Y77
X50 ; Y56
X51 ; Y78
X53 ; Y46
﻿X0 ; ﻿Y69
X1 ; Y26
X2 ; Y27
X3 ; Y34
X3 ; Y38
X4 ; Y24
X4 ; Y25
X4 ; Y9
X5 ; Y20
X5 ; Y21
X6 ; Y30
X6 ; Y31
X6 ; Y20
X6 ; Y21
X7 ; Y65
X8 ; Y48
X9 ; Y49
X10 ; Y65
X11 ; Y67
X11 ; Y68
X12 ; Y34
X12 ; Y38
X13 ; Y37
X14 ; Y33
X15 ; Y62
X15 ; Y76
X16 ; Y56
X17 ; Y61
X18 ; Y59
X19 ; Y60
X20 ; Y50
X20 ; Y51
X22 ; Y44
X23 ; Y52
X23 ; Y53
X24 ; Y70
X24 ; Y71
X25 ; Y58
X26 ; Y74
X26 ; Y75
X28 ; Y4
X30 ; Y46
X31 ; Y63
X31 ; Y64
X32 ; Y54
X32 ; Y55
X33 ; Y45
X34 ; Y36
X35 ; Y0
X36 ; Y30
X36 ; Y31
X36 ; Y12
X37 ; Y8
X38 ; Y32
X38 ; Y35
X39 ; Y28
X39 ; Y29
X40 ; Y14
X41 ; Y22
X41 ; Y23
X42 ; Y15
X44 ; Y16
X44 ; Y17
X45 ; Y11
X46 ; Y18
X46 ; Y19
X47 ; Y13
X48 ; Y34
X48 ; Y38
X49 ; Y77
X50 ; Y56
X51 ; Y78
X53 ; Y46
